Date,Close
10/1/2012,252.01
10/2/2012,250.6
10/3/2012,255.92
10/4/2012,260.47
10/5/2012,258.51
10/8/2012,259.06
10/9/2012,250.96
10/10/2012,244.99
10/11/2012,244.22
10/12/2012,242.36
10/15/2012,244.18
10/16/2012,243.94
10/17/2012,247.49
10/18/2012,244.85
10/19/2012,240
10/22/2012,233.78
10/23/2012,234.31
10/24/2012,228.49
10/25/2012,222.92
10/26/2012,238.24
10/31/2012,232.89
11/1/2012,232.14
11/2/2012,232.42
11/5/2012,234.33
11/6/2012,237.56
11/7/2012,232.06
11/8/2012,227.35
11/9/2012,226.31
11/12/2012,226.47
11/13/2012,226.6
11/14/2012,222.95
11/15/2012,220.6
11/16/2012,225.23
11/19/2012,229.71
11/20/2012,233.78
11/21/2012,238.03
11/23/2012,239.88
11/26/2012,243.62
11/27/2012,243.4
11/28/2012,247.11
11/29/2012,251.27
11/30/2012,252.05
12/3/2012,250.33
12/4/2012,252.49
12/5/2012,253.96
12/6/2012,253.37
12/7/2012,253.27
12/10/2012,247.77
12/11/2012,250.69
12/12/2012,251.76
12/13/2012,251.25
12/14/2012,249.19
12/17/2012,253.86
12/18/2012,260.4
12/19/2012,257.99
12/20/2012,261.5
12/21/2012,256.92
12/24/2012,258.62
12/26/2012,248.63
12/27/2012,248.31
12/28/2012,245.18
12/31/2012,250.87
1/2/2013,257.31
1/3/2013,258.48
1/4/2013,259.15
1/7/2013,268.46
1/8/2013,266.38
1/9/2013,266.35
1/10/2013,265.34
1/11/2013,267.94
1/14/2013,272.73
1/15/2013,271.9
1/16/2013,268.93
1/17/2013,270.48
1/18/2013,272.12
1/22/2013,270.19
1/23/2013,268.11
1/24/2013,273.62
1/25/2013,283.99
1/28/2013,276.04
1/29/2013,260.35
1/30/2013,272.76
1/31/2013,265.5
2/1/2013,265
2/4/2013,259.98
2/5/2013,266.89
2/6/2013,262.22
2/7/2013,260.23
2/8/2013,261.95
2/11/2013,257.21
2/12/2013,258.7
2/13/2013,269.47
2/14/2013,269.24
2/15/2013,265.09
2/19/2013,269.75
2/20/2013,266.41
2/21/2013,265.94
2/22/2013,265.42
2/25/2013,259.87
2/26/2013,259.36
2/27/2013,263.25
2/28/2013,264.27
3/1/2013,265.74
3/4/2013,273.11
3/5/2013,275.59
3/6/2013,273.79
3/7/2013,273.88
3/8/2013,274.19
3/11/2013,271.24
3/12/2013,274.13
3/13/2013,275.1
3/14/2013,265.74
3/15/2013,261.82
3/18/2013,257.89
3/19/2013,256.41
3/20/2013,257.28
3/21/2013,253.39
3/22/2013,257.75
3/25/2013,256.02
3/26/2013,260.31
3/27/2013,265.3
3/28/2013,266.49
4/1/2013,261.61
4/2/2013,263.32
4/3/2013,259.03
4/4/2013,259.08
4/5/2013,255.48
4/8/2013,258.95
4/9/2013,261.14
4/10/2013,264.77
4/11/2013,269.85
4/12/2013,272.87
4/15/2013,267.72
4/16/2013,272.34
4/17/2013,267.4
4/18/2013,259.42
4/19/2013,260.32
4/22/2013,263.55
4/23/2013,268.9
4/24/2013,268.78
4/25/2013,274.7
4/26/2013,254.81
4/29/2013,249.74
4/30/2013,253.81
5/1/2013,248.23
5/2/2013,252.55
5/3/2013,258.05
5/6/2013,255.72
5/7/2013,257.73
5/8/2013,258.68
5/9/2013,260.16
5/10/2013,263.63
5/13/2013,264.51
5/14/2013,268.33
5/15/2013,266.56
5/16/2013,264.12
5/17/2013,269.9
5/20/2013,267.63
5/21/2013,268.86
5/22/2013,262.96
5/23/2013,261.8
5/24/2013,261.74
5/28/2013,267.29
5/29/2013,265.53
5/30/2013,266.83
5/31/2013,269.2
6/3/2013,266.88
6/4/2013,265.7
6/5/2013,267.17
6/6/2013,267.83
6/7/2013,276.87
6/10/2013,281.07
6/11/2013,274.78
6/12/2013,271.67
6/13/2013,275.79
6/14/2013,273.99
6/17/2013,278.06
6/18/2013,281.76
6/19/2013,278.16
6/20/2013,273.44
6/21/2013,273.36
6/24/2013,270.61
6/25/2013,272.09
6/26/2013,277.57
6/27/2013,277.55
6/28/2013,277.69
7/1/2013,282.1
7/2/2013,283.73
7/3/2013,284.03
7/5/2013,285.88
7/8/2013,290.59
7/9/2013,291.53
7/10/2013,292.33
7/11/2013,299.66
7/12/2013,307.55
7/15/2013,306.57
7/16/2013,306.87
7/17/2013,308.69
7/18/2013,304.11
7/19/2013,305.23
7/22/2013,303.48
7/23/2013,301.06
7/24/2013,298.94
7/25/2013,303.4
7/26/2013,312.01
7/29/2013,306.1
7/30/2013,302.41
7/31/2013,301.22
8/1/2013,305.57
8/2/2013,304.21
8/5/2013,300.99
8/6/2013,300.75
8/7/2013,296.91
8/8/2013,295.74
8/9/2013,297.26
8/12/2013,296.69
8/13/2013,293.97
8/14/2013,291.34
8/15/2013,286.47
8/16/2013,284.82
8/19/2013,285.57
8/20/2013,287.09
8/21/2013,284.57
8/22/2013,289.73
8/23/2013,290.01
8/26/2013,286.21
8/27/2013,280.93
8/28/2013,281.58
8/29/2013,283.98
8/30/2013,280.98
9/3/2013,288.8
9/4/2013,293.64
9/5/2013,294.1
9/6/2013,295.86
9/9/2013,299.71
9/10/2013,300.36
9/11/2013,299.64
9/12/2013,298.86
9/13/2013,297.92
9/16/2013,296.06
9/17/2013,304.17
9/18/2013,312.03
9/19/2013,312.06
9/20/2013,316.34
9/23/2013,311.49
9/24/2013,314.13
9/25/2013,312.65
9/26/2013,318.12
9/27/2013,316.01
9/30/2013,312.64
10/1/2013,320.95
10/2/2013,320.51
10/3/2013,314.76
10/4/2013,319.04
10/7/2013,310.03
10/8/2013,303.23
10/9/2013,298.23
10/10/2013,305.17
10/11/2013,310.89
10/14/2013,310.7
10/15/2013,306.4
10/16/2013,310.49
10/17/2013,310.77
10/18/2013,328.93
10/21/2013,326.44
10/22/2013,332.54
10/23/2013,326.76
10/24/2013,332.21
10/25/2013,363.39
10/28/2013,358.16
10/29/2013,362.7
10/30/2013,361.08
10/31/2013,364.03
11/1/2013,359
11/4/2013,358.74
11/5/2013,358.89
11/6/2013,356.18
11/7/2013,343.56
11/8/2013,350.31
11/11/2013,354.38
11/12/2013,349.53
11/13/2013,356.22
11/14/2013,367.4
11/15/2013,369.17
11/18/2013,366.18
11/19/2013,364.94
11/20/2013,362.57
11/21/2013,368.92
11/22/2013,372.31
11/25/2013,376.64
11/26/2013,381.37
11/27/2013,386.71
11/29/2013,393.62
12/2/2013,392.3
12/3/2013,384.66
12/4/2013,385.96
12/5/2013,384.49
12/6/2013,386.95
12/9/2013,384.89
12/10/2013,387.78
12/11/2013,382.19
12/12/2013,381.25
12/13/2013,384.24
12/16/2013,388.97
12/17/2013,387.65
12/18/2013,395.96
12/19/2013,395.19
12/20/2013,402.2
12/23/2013,402.92
12/24/2013,399.2
12/26/2013,404.39
12/27/2013,398.08
12/30/2013,393.37
12/31/2013,398.79
1/2/2014,397.97
1/3/2014,396.44
1/6/2014,393.63
1/7/2014,398.03
1/8/2014,401.92
1/9/2014,401.01
1/10/2014,397.66
1/13/2014,390.98
1/14/2014,397.54
1/15/2014,395.87
1/16/2014,395.8
1/17/2014,399.61
1/21/2014,407.05
1/22/2014,404.54
1/23/2014,399.87
1/24/2014,387.6
1/27/2014,386.28
1/28/2014,394.43
1/29/2014,384.2
1/30/2014,403.01
1/31/2014,358.69
2/3/2014,346.15
2/4/2014,347.95
2/5/2014,346.45
2/6/2014,354.59
2/7/2014,361.08
2/10/2014,360.87
2/11/2014,361.79
2/12/2014,349.25
2/13/2014,357.2
2/14/2014,357.35
2/18/2014,353.65
2/19/2014,347.38
2/20/2014,349.8
2/21/2014,346.76
2/24/2014,351.78
2/25/2014,358.32
2/26/2014,359.8
2/27/2014,360.13
2/28/2014,362.1
3/3/2014,359.78
3/4/2014,363.9
3/5/2014,372.37
3/6/2014,372.16
3/7/2014,372.06
3/10/2014,370.53
3/11/2014,368.82
3/12/2014,370.64
3/13/2014,371.51
3/14/2014,373.74
3/17/2014,375.04
3/18/2014,378.77
3/19/2014,373.23
3/20/2014,368.97
3/21/2014,360.62
3/24/2014,351.85
3/25/2014,354.71
